load_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
L0,0.3409,0.3049,0.2792,0.2658,0.2578,0.2574,0.2515,0.2472,0.284,0.3502,0.394,0.4266,0.4067,0.3647,0.3457,0.3438,0.3896,0.4412,0.4552,0.4703,0.4521,0.4332,0.3835,0.2873
L1,0.1337,0.1196,0.1095,0.1042,0.1011,0.1009,0.0986,0.097,0.1114,0.1373,0.1545,0.1673,0.1595,0.143,0.1356,0.1348,0.1528,0.173,0.1785,0.1844,0.1773,0.1699,0.1504,0.1127
L2,0.2607,0.2332,0.2135,0.2033,0.1971,0.1968,0.1924,0.1891,0.2171,0.2678,0.3013,0.3262,0.311,0.2789,0.2644,0.2629,0.2979,0.3374,0.3481,0.3596,0.3457,0.3313,0.2932,0.2197
L3,0.2607,0.2332,0.2135,0.2033,0.1971,0.1968,0.1924,0.1891,0.2171,0.2678,0.3013,0.3262,0.311,0.2789,0.2644,0.2629,0.2979,0.3374,0.3481,0.3596,0.3457,0.3313,0.2932,0.2197
L4,0.3476,0.3109,0.2847,0.271,0.2628,0.2624,0.2565,0.2521,0.2895,0.3571,0.4018,0.4349,0.4147,0.3719,0.3525,0.3506,0.3973,0.4498,0.4641,0.4795,0.461,0.4417,0.391,0.293
L5,0.127,0.1136,0.104,0.099,0.096,0.0959,0.0937,0.0921,0.1058,0.1305,0.1468,0.1589,0.1515,0.1359,0.1288,0.1281,0.1452,0.1644,0.1696,0.1752,0.1684,0.1614,0.1429,0.1071
L6,0.1872,0.1674,0.1533,0.1459,0.1415,0.1413,0.1381,0.1357,0.1559,0.1923,0.2163,0.2342,0.2233,0.2002,0.1898,0.1888,0.2139,0.2422,0.2499,0.2582,0.2482,0.2378,0.2105,0.1578
L7,0.4679,0.4186,0.3833,0.3648,0.3538,0.3533,0.3453,0.3393,0.3898,0.4807,0.5408,0.5855,0.5582,0.5006,0.4745,0.4719,0.5348,0.6055,0.6248,0.6454,0.6205,0.5946,0.5263,0.3944
L8,0.3142,0.281,0.2573,0.245,0.2376,0.2372,0.2318,0.2278,0.2617,0.3228,0.3631,0.3931,0.3748,0.3361,0.3186,0.3169,0.3591,0.4066,0.4195,0.4334,0.4166,0.3992,0.3534,0.2648
L9,0.2273,0.2033,0.1862,0.1772,0.1719,0.1716,0.1677,0.1648,0.1893,0.2335,0.2627,0.2844,0.2711,0.2431,0.2305,0.2292,0.2597,0.2941,0.3035,0.3135,0.3014,0.2888,0.2556,0.1916
L10,0.0936,0.0837,0.0767,0.073,0.0708,0.0707,0.0691,0.0679,0.078,0.0961,0.1082,0.1171,0.1116,0.1001,0.0949,0.0944,0.107,0.1211,0.125,0.1291,0.1241,0.1189,0.1053,0.0789
L11,0.6016,0.5381,0.4928,0.4691,0.4549,0.4542,0.4439,0.4363,0.5011,0.6181,0.6954,0.7528,0.7177,0.6436,0.61,0.6067,0.6876,0.7785,0.8033,0.8299,0.7978,0.7644,0.6767,0.5071
L12,0.1671,0.1495,0.1369,0.1303,0.1264,0.1262,0.1233,0.1212,0.1392,0.1717,0.1932,0.2091,0.1994,0.1788,0.1695,0.1685,0.191,0.2163,0.2231,0.2305,0.2216,0.2123,0.188,0.1409
L13,0.0735,0.0658,0.0602,0.0573,0.0556,0.0555,0.0543,0.0533,0.0612,0.0755,0.085,0.092,0.0877,0.0787,0.0746,0.0742,0.084,0.0952,0.0982,0.1014,0.0975,0.0934,0.0827,0.062
