gen_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
G0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1659,1.1047,1.8019,1.3761,0.4763,0.0689,0.0287,1.0101,2.1154,2.4159,2.7383,2.3489,1.9435,0.8779,0.0
G1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
G2,2.166,1.3953,0.8444,0.5566,0.3847,0.3761,0.251,0.1585,0.9458,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,1.0182
G3,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14
G4,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
G5,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04
G6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G7,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55
G8,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
G9,3.91,3.91,3.91,3.7456,3.4706,3.4568,3.2562,3.1083,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91
G10,2.4139,1.1797,0.2974,0.0,0.0,0.0,0.0,0.0,0.4593,2.7348,3.92,3.92,3.92,3.2314,2.579,2.5142,3.92,3.92,3.92,3.92,3.92,3.92,3.8749,0.5757
G11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3185,1.4356,0.7536,0.0,0.0,0.0,0.1667,1.9369,2.4193,2.9355,2.312,1.6626,0.0,0.0
G12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2114,1.103,0.5581,0.0,0.0,0.0,0.09,1.5033,1.8887,2.3005,1.8027,1.2844,0.0,0.0
G13,6.07,5.8391,5.1349,4.7661,4.546,4.5352,4.3754,4.2571,5.2638,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,5.3568
G14,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52
G15,0.7542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0104,2.0,2.0,2.0,1.4069,0.8863,0.8345,2.0,2.0,2.0,2.0,2.0,2.0,1.9213,0.0
G16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
