h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
0.071,0.066,0.066,0.067,0.069,0.074,0.099,0.108,0.102,0.099,0.100,0.103,0.100,0.094,0.097,0.100,0.101,0.119,0.124,0.122,0.120,0.112,0.097,0.082
0.071,0.067,0.066,0.067,0.069,0.074,0.099,0.108,0.102,0.099,0.100,0.103,0.100,0.094,0.097,0.100,0.101,0.119,0.124,0.122,0.120,0.112,0.097,0.082
0.071,0.066,0.066,0.067,0.069,0.074,0.099,0.108,0.102,0.099,0.100,0.103,0.100,0.094,0.097,0.100,0.101,0.119,0.124,0.122,0.120,0.112,0.097,0.082
0.132,0.123,0.121,0.125,0.129,0.138,0.188,0.206,0.195,0.188,0.191,0.196,0.189,0.179,0.184,0.190,0.191,0.228,0.238,0.234,0.230,0.215,0.184,0.154
-0.071,-0.066,-0.066,-0.067,-0.069,-0.074,-0.099,-0.108,-0.102,-0.099,-0.100,-0.103,-0.100,-0.094,-0.097,-0.100,-0.101,-0.119,-0.124,-0.122,-0.120,-0.112,-0.097,-0.082
0.204,0.190,0.187,0.192,0.198,0.212,0.287,0.315,0.297,0.287,0.291,0.299,0.289,0.273,0.281,0.291,0.292,0.346,0.362,0.356,0.350,0.327,0.280,0.237
-0.061,-0.056,-0.056,-0.057,-0.059,-0.064,-0.089,-0.098,-0.092,-0.089,-0.090,-0.093,-0.090,-0.084,-0.087,-0.090,-0.091,-0.109,-0.114,-0.112,-0.110,-0.102,-0.087,-0.072
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.043,0.038,0.037,0.040,0.041,0.048,0.060,0.071,0.079,0.081,0.082,0.080,0.079,0.074,0.074,0.074,0.078,0.090,0.088,0.077,0.069,0.062,0.055,0.046
0.043,0.038,0.037,0.040,0.041,0.048,0.060,0.072,0.080,0.082,0.083,0.081,0.080,0.075,0.075,0.075,0.079,0.091,0.088,0.077,0.069,0.063,0.055,0.047
0.043,0.038,0.037,0.040,0.041,0.048,0.060,0.071,0.079,0.081,0.082,0.080,0.079,0.074,0.074,0.074,0.078,0.090,0.088,0.077,0.069,0.062,0.055,0.046
0.043,0.038,0.037,0.040,0.041,0.048,0.059,0.071,0.079,0.081,0.082,0.080,0.079,0.074,0.074,0.074,0.078,0.090,0.087,0.076,0.068,0.062,0.054,0.046
0.043,0.038,0.037,0.040,0.041,0.048,0.060,0.071,0.079,0.081,0.082,0.080,0.079,0.074,0.074,0.074,0.078,0.090,0.088,0.077,0.069,0.062,0.055,0.046
0.043,0.038,0.037,0.040,0.041,0.048,0.060,0.071,0.079,0.081,0.082,0.080,0.079,0.074,0.074,0.074,0.078,0.090,0.088,0.077,0.069,0.062,0.055,0.046
0.043,0.038,0.037,0.040,0.041,0.048,0.060,0.071,0.079,0.081,0.082,0.080,0.079,0.074,0.074,0.074,0.078,0.090,0.088,0.077,0.069,0.062,0.055,0.046
0.085,0.077,0.073,0.079,0.083,0.096,0.119,0.142,0.158,0.163,0.164,0.161,0.159,0.149,0.148,0.149,0.157,0.180,0.175,0.153,0.137,0.124,0.109,0.093
0.128,0.115,0.110,0.119,0.124,0.144,0.179,0.214,0.238,0.245,0.247,0.242,0.239,0.224,0.223,0.224,0.236,0.271,0.264,0.231,0.207,0.187,0.164,0.139
-0.075,-0.066,-0.063,-0.069,-0.072,-0.086,-0.109,-0.132,-0.148,-0.152,-0.154,-0.150,-0.149,-0.138,-0.138,-0.138,-0.146,-0.170,-0.165,-0.143,-0.127,-0.114,-0.099,-0.082
-0.033,-0.028,-0.027,-0.030,-0.031,-0.038,-0.050,-0.061,-0.069,-0.071,-0.072,-0.070,-0.069,-0.064,-0.064,-0.064,-0.068,-0.080,-0.078,-0.067,-0.059,-0.052,-0.045,-0.036
0.247,0.220,0.211,0.228,0.238,0.278,0.348,0.417,0.466,0.479,0.482,0.473,0.468,0.437,0.436,0.437,0.461,0.532,0.517,0.451,0.403,0.363,0.318,0.268
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.058,0.049,0.050,0.057,0.065,0.080,0.095,0.102,0.102,0.102,0.095,0.093,0.094,0.095,0.088,0.082,0.081,0.099,0.100,0.093,0.082,0.080,0.069,0.063
0.058,0.049,0.049,0.057,0.065,0.080,0.095,0.102,0.102,0.102,0.095,0.093,0.094,0.095,0.088,0.082,0.081,0.099,0.100,0.093,0.082,0.080,0.069,0.063
0.058,0.049,0.050,0.058,0.065,0.080,0.095,0.103,0.102,0.103,0.096,0.094,0.095,0.095,0.089,0.083,0.082,0.100,0.101,0.094,0.082,0.080,0.069,0.063
0.058,0.049,0.049,0.057,0.065,0.080,0.095,0.102,0.102,0.102,0.095,0.093,0.094,0.095,0.088,0.082,0.081,0.099,0.100,0.093,0.082,0.080,0.069,0.063
0.058,0.049,0.050,0.057,0.065,0.080,0.095,0.103,0.102,0.102,0.096,0.093,0.094,0.095,0.088,0.083,0.081,0.099,0.100,0.093,0.082,0.080,0.069,0.063
