h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
-0.022,-0.023,-0.022,-0.023,-0.022,-0.020,-0.016,-0.011,-0.011,-0.012,-0.012,-0.011,-0.012,-0.014,-0.012,-0.012,-0.012,-0.011,-0.012,-0.012,-0.013,-0.015,-0.017,-0.020
-0.021,-0.023,-0.022,-0.023,-0.022,-0.020,-0.016,-0.011,-0.011,-0.012,-0.011,-0.010,-0.012,-0.013,-0.012,-0.012,-0.011,-0.010,-0.011,-0.011,-0.012,-0.015,-0.017,-0.019
-0.022,-0.023,-0.022,-0.023,-0.022,-0.020,-0.016,-0.011,-0.011,-0.012,-0.012,-0.011,-0.012,-0.014,-0.012,-0.012,-0.012,-0.011,-0.012,-0.012,-0.013,-0.015,-0.017,-0.020
-0.075,-0.078,-0.075,-0.078,-0.075,-0.072,-0.064,-0.054,-0.053,-0.056,-0.055,-0.053,-0.056,-0.058,-0.055,-0.055,-0.054,-0.053,-0.055,-0.054,-0.057,-0.061,-0.066,-0.071
0.029,0.031,0.030,0.031,0.029,0.028,0.024,0.019,0.019,0.020,0.019,0.019,0.020,0.021,0.020,0.020,0.019,0.019,0.020,0.019,0.021,0.023,0.025,0.027
-0.109,-0.113,-0.109,-0.113,-0.109,-0.104,-0.092,-0.077,-0.077,-0.080,-0.079,-0.076,-0.080,-0.084,-0.079,-0.079,-0.078,-0.076,-0.079,-0.077,-0.082,-0.088,-0.095,-0.102
0.041,0.043,0.042,0.043,0.041,0.040,0.036,0.031,0.031,0.032,0.032,0.031,0.032,0.033,0.032,0.032,0.031,0.031,0.032,0.031,0.033,0.035,0.037,0.039
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.013,-0.014,-0.014,-0.014,-0.014,-0.013,-0.011,-0.009,-0.006,-0.005,-0.004,-0.004,-0.004,-0.006,-0.005,-0.006,-0.006,-0.005,-0.009,-0.011,-0.012,-0.013,-0.014,-0.014
-0.013,-0.013,-0.014,-0.014,-0.014,-0.012,-0.010,-0.008,-0.005,-0.004,-0.002,-0.003,-0.002,-0.005,-0.004,-0.005,-0.005,-0.004,-0.007,-0.010,-0.011,-0.012,-0.013,-0.013
-0.013,-0.014,-0.014,-0.014,-0.014,-0.013,-0.011,-0.009,-0.006,-0.005,-0.004,-0.004,-0.004,-0.006,-0.005,-0.006,-0.006,-0.005,-0.009,-0.011,-0.012,-0.013,-0.014,-0.014
-0.013,-0.014,-0.014,-0.014,-0.014,-0.013,-0.011,-0.010,-0.006,-0.006,-0.004,-0.005,-0.004,-0.006,-0.006,-0.006,-0.007,-0.006,-0.009,-0.011,-0.012,-0.013,-0.014,-0.014
-0.013,-0.014,-0.014,-0.014,-0.014,-0.013,-0.011,-0.009,-0.006,-0.005,-0.004,-0.004,-0.004,-0.006,-0.005,-0.006,-0.006,-0.005,-0.009,-0.011,-0.012,-0.013,-0.014,-0.014
-0.013,-0.014,-0.014,-0.014,-0.014,-0.013,-0.011,-0.009,-0.006,-0.005,-0.004,-0.004,-0.004,-0.006,-0.005,-0.006,-0.006,-0.005,-0.009,-0.011,-0.012,-0.013,-0.014,-0.014
-0.021,-0.021,-0.021,-0.022,-0.022,-0.021,-0.019,-0.017,-0.014,-0.013,-0.012,-0.012,-0.011,-0.014,-0.013,-0.013,-0.014,-0.013,-0.016,-0.018,-0.020,-0.020,-0.021,-0.021
-0.049,-0.050,-0.051,-0.051,-0.051,-0.049,-0.045,-0.041,-0.035,-0.033,-0.031,-0.031,-0.030,-0.035,-0.033,-0.034,-0.035,-0.034,-0.040,-0.044,-0.047,-0.048,-0.050,-0.050
-0.074,-0.076,-0.076,-0.077,-0.077,-0.073,-0.067,-0.061,-0.051,-0.049,-0.045,-0.046,-0.045,-0.052,-0.049,-0.051,-0.052,-0.049,-0.059,-0.066,-0.070,-0.072,-0.075,-0.075
0.049,0.050,0.051,0.051,0.051,0.049,0.045,0.042,0.035,0.034,0.031,0.032,0.031,0.035,0.033,0.035,0.035,0.034,0.041,0.045,0.047,0.049,0.050,0.050
0.021,0.021,0.021,0.022,0.022,0.021,0.019,0.017,0.014,0.013,0.012,0.012,0.011,0.014,0.013,0.013,0.014,0.013,0.016,0.018,0.020,0.020,0.021,0.021
