bus,vm_pu,va_degree,p_mw,q_mvar
1,0.999206,0.000517,116.922164,49.634402
7966,1.023787,-0.045028,-1.478525,-0.533998
7967,1.029587,-0.039047,-5.127060,-1.852028
7968,1.030070,-0.037839,-1.840023,-0.664652
7969,1.028985,-0.040108,-3.165594,-1.143438
7970,1.028038,-0.039503,-2.655740,-0.959319
7971,1.030091,-0.039200,-1.891102,-0.683115
7972,1.029357,-0.038461,-0.713808,-0.257803
7973,1.036450,-0.042699,-3.119228,-1.126727
7974,1.036082,-0.041166,-0.968738,-0.349935
7975,1.022776,-0.035403,-1.636104,-0.590962
7976,1.022180,-0.035297,-4.352043,-1.572045
7977,1.023977,-0.034735,-2.966319,-1.071426
7978,1.037868,-0.041416,-0.616389,-0.222705
7979,1.038208,-0.041616,-1.742750,-0.629608
7980,1.022914,-0.034287,-1.478544,-0.534012
7981,1.026047,-0.051408,-2.711225,-0.979327
7982,1.036865,-0.041315,-0.153027,-0.055318
7983,1.036602,-0.041847,-2.502753,-0.904183
7984,1.036181,-0.042438,-2.048522,-0.739920
7985,1.021354,-0.044812,-0.293516,-0.105986
7986,1.030225,-0.037037,-0.269457,-0.097380
7987,1.021662,-0.035753,-0.286685,-0.103544
7988,1.028718,-0.038247,-0.266050,-0.096152
7989,1.037498,-0.041168,-0.265748,-0.096040
7990,1.038418,-0.040613,-0.286716,-0.103622
7991,1.023435,-0.034520,-0.267758,-0.096688
7992,1.023141,-0.034606,-0.279906,-0.101178
7993,1.034817,-0.041259,-0.320692,-0.115784
7994,1.029390,-0.037761,-0.329513,-0.119074
7995,1.020866,-0.034225,-0.270664,-0.097747
7996,1.036417,-0.041814,-0.321328,-0.116126
7997,1.029521,-0.038008,-0.299226,-0.108022
7998,1.021099,-0.036007,-0.293571,-0.105994
7999,1.037940,-0.042257,-0.355994,-0.128478
8000,1.023817,-0.034127,-0.276639,-0.099805
8001,1.038147,-0.041110,-0.369996,-0.133730
8002,1.021234,-0.034891,-0.278570,-0.100556
8003,1.021660,-0.034271,-0.278641,-0.100683
8004,1.022397,-0.035040,-0.275967,-0.099699
8005,1.036392,-0.042932,-0.281723,-0.101749
8006,1.021166,-0.035478,-0.381918,-0.138047
8007,1.035219,-0.041219,-0.276509,-0.099920
8395,1.024040,-0.051178,-0.242023,-0.096811
8396,1.024725,-0.051334,-0.246040,-0.098566
8397,1.023945,-0.051232,-0.132363,-0.051897
8398,1.024752,-0.050926,-0.155710,-0.062330
8399,1.025031,-0.051560,-0.092425,-0.036627
8400,1.035510,-0.043269,-0.071747,-0.027884
8401,1.035595,-0.042501,-0.374220,-0.149396
8402,1.036348,-0.042539,-0.285978,-0.112042
8403,1.025191,-0.051466,-0.163856,-0.063427
8404,1.020123,-0.034549,-0.089018,-0.035070
8405,1.020985,-0.034925,-0.199276,-0.078852
8406,1.020129,-0.036387,-0.057721,-0.022181
8407,1.024880,-0.050475,-0.273148,-0.106468
8408,1.020190,-0.034905,-0.193064,-0.075587
8409,1.019597,-0.035453,-0.037897,-0.014287
8410,1.020618,-0.035397,-0.143006,-0.056711
8411,1.024979,-0.051094,-0.104501,-0.040749
8412,1.035716,-0.042284,-0.277256,-0.108232
8413,1.025677,-0.050834,-0.154020,-0.061284
8414,1.022128,-0.035886,-0.069767,-0.027027
8415,1.026791,-0.051189,-0.132898,-0.052406
8416,1.025593,-0.051319,-0.162371,-0.062737
8417,1.020453,-0.035491,-0.138322,-0.054617
8418,1.019285,-0.035309,-0.270210,-0.105466
8419,1.026360,-0.050662,-0.168558,-0.065335
8420,1.026511,-0.050495,-0.096614,-0.038592
8421,1.021953,-0.034139,-0.153258,-0.061194
8422,1.022251,-0.035715,-0.158167,-0.063243
8423,1.020748,-0.035873,-0.248441,-0.099529
8424,1.036561,-0.042332,-0.378266,-0.150904
8425,1.035031,-0.040850,-0.093979,-0.037460
8426,1.036796,-0.041657,-0.221255,-0.087713
8427,1.037144,-0.041665,-0.069766,-0.027111
8428,1.026892,-0.051791,-0.048883,-0.018581
8429,1.027022,-0.051150,-0.371888,-0.147293
8430,1.021038,-0.034947,-0.099725,-0.039875
8431,1.021801,-0.035332,-0.210795,-0.084530
8432,1.035620,-0.042499,-0.275667,-0.107494
8433,1.035280,-0.042271,-0.277549,-0.108340
8434,1.036985,-0.042145,-0.174678,-0.067875
8435,1.020620,-0.035275,-0.264620,-0.103059
8436,1.022295,-0.034569,-0.100685,-0.038752
8437,1.021237,-0.035940,-0.206909,-0.081556
8438,1.034571,-0.042231,-0.062430,-0.024120
8439,1.022339,-0.036015,-0.064933,-0.025112
8440,1.035182,-0.040716,-0.351790,-0.140084
8441,1.035924,-0.041484,-0.225175,-0.089382
8442,1.035155,-0.042005,-0.071354,-0.027775
8443,1.036780,-0.041804,-0.071264,-0.027548
8444,1.035961,-0.041239,-0.319297,-0.125703
8445,1.027109,-0.050506,-0.078255,-0.030611
8446,1.036329,-0.041829,-0.823823,-0.268100
8447,1.036069,-0.041040,-0.260313,-0.101879
8448,1.036578,-0.041324,-0.080204,-0.031363
8449,1.036903,-0.041197,-0.181277,-0.070614
8450,1.039280,-0.041074,0.000055,0.000066
8451,1.036116,-0.041294,-0.084871,-0.033498
8452,1.037122,-0.042347,-0.238258,-0.095087
8453,1.021596,-0.034904,-0.165305,-0.064101
8454,1.037237,-0.041910,-0.145127,-0.057893
8455,1.036548,-0.041702,-0.160479,-0.061980
