bus,vm_pu,va_degree,p_mw,q_mvar
1,0.999666,-0.000489,123.113612,54.659984
7966,1.026738,-0.038032,-1.856308,-0.727407
7967,1.032284,-0.032850,-6.437535,-2.522456
7968,1.032130,-0.032054,-2.310344,-0.905245
7969,1.031040,-0.034081,-3.974637,-1.557416
7970,1.029806,-0.034306,-3.334614,-1.306565
7971,1.032386,-0.031946,-2.374356,-0.930330
7972,1.031046,-0.031638,-0.896232,-0.351168
7973,1.038805,-0.033658,-3.916456,-1.534643
7974,1.038450,-0.032282,-1.216329,-0.476514
7975,1.023283,-0.029423,-2.054272,-0.804861
7976,1.024643,-0.029142,-5.464387,-2.141230
7977,1.024958,-0.029411,-3.724368,-1.459376
7978,1.040050,-0.033431,-0.773882,-0.303262
7979,1.040425,-0.033618,-2.187977,-0.857387
7980,1.024508,-0.028961,-1.856340,-0.727344
7981,1.029435,-0.042143,-3.404367,-1.333962
7982,1.040651,-0.033423,-0.191935,-0.075188
7983,1.039189,-0.034607,-3.142374,-1.231443
7984,1.038973,-0.033362,-2.572214,-1.007813
7985,1.025024,-0.036161,-0.368473,-0.144407
7986,1.032075,-0.032596,-0.338290,-0.132598
7987,1.024835,-0.029299,-0.360029,-0.141076
7988,1.030906,-0.032858,-0.333993,-0.130878
7989,1.039620,-0.032708,-0.333709,-0.130698
7990,1.040342,-0.033200,-0.360064,-0.141146
7991,1.025457,-0.028573,-0.336126,-0.131798
7992,1.025473,-0.028326,-0.351472,-0.137698
7993,1.039113,-0.033521,-0.402655,-0.157860
7994,1.033533,-0.031660,-0.413861,-0.162182
7995,1.024374,-0.028489,-0.339764,-0.133118
7996,1.039396,-0.033381,-0.403471,-0.158086
7997,1.031335,-0.032441,-0.375681,-0.147087
7998,1.024088,-0.029285,-0.368614,-0.144468
7999,1.041025,-0.032515,-0.446761,-0.175134
8000,1.025321,-0.027772,-0.347268,-0.135970
8001,1.040879,-0.033672,-0.464640,-0.182056
8002,1.024978,-0.028900,-0.349840,-0.137221
8003,1.024358,-0.028660,-0.349763,-0.137017
8004,1.024437,-0.029017,-0.346544,-0.135789
8005,1.038992,-0.033826,-0.353743,-0.138547
8006,1.024732,-0.029693,-0.479522,-0.187914
8007,1.039278,-0.033090,-0.347248,-0.136012
8395,1.028274,-0.042527,-0.212097,-0.092172
8396,1.027999,-0.041502,-0.215665,-0.093724
8397,1.028078,-0.041587,-0.116069,-0.049464
8398,1.029495,-0.042157,-0.136622,-0.059228
8399,1.029058,-0.041622,-0.080951,-0.034702
8400,1.038502,-0.034679,-0.062840,-0.026485
8401,1.038975,-0.033281,-0.328049,-0.142134
8402,1.039056,-0.034359,-0.250751,-0.106579
8403,1.028945,-0.041406,-0.143612,-0.060270
8404,1.023953,-0.029185,-0.078097,-0.033334
8405,1.023129,-0.029102,-0.174763,-0.074926
8406,1.023089,-0.028847,-0.050742,-0.021055
8407,1.028404,-0.041788,-0.239531,-0.101257
8408,1.022857,-0.028353,-0.169211,-0.071927
8409,1.022110,-0.029440,-0.033255,-0.013498
8410,1.023826,-0.028206,-0.125422,-0.054017
8411,1.029526,-0.041873,-0.091612,-0.038734
8412,1.039598,-0.034114,-0.243228,-0.102708
8413,1.029050,-0.040889,-0.135106,-0.058256
8414,1.023881,-0.028471,-0.061084,-0.025820
8415,1.029738,-0.042481,-0.116474,-0.049733
8416,1.029395,-0.041243,-0.142376,-0.059744
8417,1.023474,-0.028118,-0.121164,-0.051886
8418,1.022703,-0.028782,-0.236837,-0.100279
8419,1.029962,-0.042558,-0.147795,-0.062145
8420,1.029816,-0.042204,-0.084796,-0.036682
8421,1.022939,-0.029228,-0.134410,-0.058126
8422,1.025360,-0.028768,-0.138585,-0.060179
8423,1.024571,-0.029160,-0.217819,-0.094635
8424,1.038861,-0.034898,-0.331575,-0.143597
8425,1.038676,-0.033480,-0.082450,-0.035588
8426,1.040447,-0.034252,-0.194074,-0.083402
8427,1.039283,-0.034349,-0.061242,-0.025710
8428,1.030274,-0.041628,-0.042930,-0.017692
8429,1.030548,-0.042894,-1.154245,-0.379785
8430,1.024260,-0.028867,-0.087497,-0.038010
8431,1.023949,-0.030037,-0.184643,-0.080298
8432,1.038909,-0.032641,-0.241737,-0.102249
8433,1.038010,-0.033799,-0.243244,-0.103025
8434,1.039714,-0.033913,-0.153103,-0.064528
8435,1.022521,-0.029283,-0.232041,-0.098026
8436,1.023916,-0.029124,-0.088234,-0.036893
8437,1.024111,-0.028519,-0.181371,-0.077502
8438,1.039487,-0.034051,-0.054789,-0.022860
8439,1.024178,-0.028848,-0.056950,-0.023856
8440,1.039930,-0.032986,-0.308268,-0.133252
8441,1.039436,-0.032557,-0.197396,-0.085081
8442,1.038966,-0.032819,-0.062476,-0.026214
8443,1.039606,-0.033182,-0.062456,-0.026276
8444,1.039673,-0.033211,-0.279968,-0.119533
8445,1.030349,-0.041207,-0.068652,-0.029200
8446,1.039208,-0.032832,-0.169008,-0.071771
8447,1.039607,-0.033175,-0.228238,-0.096974
8448,1.040166,-0.032916,-0.070261,-0.029832
8449,1.040051,-0.032894,-0.158831,-0.067254
8450,1.041175,-0.032155,0.000051,-0.000035
8451,1.039859,-0.034471,-0.074449,-0.031978
8452,1.040044,-0.033942,-0.208811,-0.090355
8453,1.024150,-0.028101,-0.144845,-0.060910
8454,1.040560,-0.032987,-0.127178,-0.055047
