bus,vm_pu,va_degree,p_mw,q_mvar
1,1.000382,0.000679,5.870042,0.130339
2,0.962158,-0.010411,-0.000022,-0.000018
3,0.960025,-0.018158,-4.697802,-0.121841
4,0.961225,-0.010530,0.000108,0.000003
5,0.961532,-0.011472,0.000006,-0.000021
6,0.960796,-0.012874,-1.166946,-0.004834
7,0.963358,-0.011034,0.000085,0.000057
8,0.965623,-0.016348,0.000034,0.000007
9,1.000014,-0.000323,16.969370,-1.051729
10,0.967684,-0.013723,0.000065,0.000010
11,0.968208,-0.014121,-0.000019,-0.000002
12,0.966484,-0.015436,0.000047,0.000058
13,0.966040,-0.016830,0.000107,-0.000058
14,0.989951,-0.022785,-3.030821,-0.021903
15,0.967208,-0.014918,0.000041,-0.000059
16,0.966501,-0.017107,0.000086,-0.000095
17,0.991210,-0.019993,-0.445915,0.042598
18,0.966376,-0.017974,-0.000033,0.000028
19,0.964183,-0.019366,0.000054,0.000025
20,1.011426,-0.029727,-2.500679,-0.008419
21,0.966509,-0.013939,-0.000038,-0.000000
22,1.014982,-0.019128,-3.654465,-0.105631
23,0.967909,-0.014858,0.000029,0.000006
24,1.015712,-0.017935,-2.446268,0.007152
25,0.967745,-0.013691,0.000013,0.000004
26,1.017535,-0.017236,-1.920463,0.127073
27,0.967777,-0.014982,-0.000041,-0.000009
28,0.990091,-0.017841,-1.040444,-0.011837
29,0.966535,-0.017322,-0.000021,0.000079
30,1.013705,-0.025393,-1.890133,-0.006310
31,1.000751,-0.000580,10.749114,1.637712
32,0.964292,-0.001847,-0.000024,-0.000052
33,0.947665,-0.015869,-0.000074,0.000052
34,0.964050,-0.002291,-0.738182,-0.126603
35,0.946724,-0.016608,0.000009,0.000120
36,0.951902,-0.030621,-3.483784,-0.597228
37,0.935621,-0.018438,-0.000015,0.000059
38,0.971813,-0.027246,-6.542368,-1.121475
39,0.934910,-0.018805,-0.000008,-0.000033
40,0.958677,-0.019118,0.120121,0.020681
