bus,vm_pu,va_degree,p_mw,q_mvar
1,0.999983,0.000364,5.758302,-0.007342
2,0.963044,-0.009242,0.000087,0.000000
3,0.962058,-0.014932,-3.093848,-0.041262
4,0.963101,-0.010858,0.000050,0.000014
5,0.962311,-0.010175,-0.601754,0.000044
6,0.963523,-0.015265,-1.455689,0.047947
7,0.962730,-0.010517,-0.601844,-0.000043
8,0.970019,-0.014607,0.000008,0.000034
9,0.999489,-0.000331,14.793009,-1.583040
10,0.970252,-0.012713,-0.000011,0.000006
11,0.969852,-0.012263,-0.000027,-0.000051
12,0.970203,-0.014816,0.000028,0.000015
13,0.969300,-0.014182,-0.601734,0.000028
14,0.994297,-0.019464,-1.982533,0.081574
15,0.969866,-0.013851,-0.601618,0.000025
16,0.969980,-0.015086,0.000006,-0.000036
17,0.995860,-0.016005,-0.134375,0.081196
18,0.970114,-0.015983,0.000022,-0.000034
19,0.969556,-0.017301,0.000032,0.000047
20,1.019175,-0.025267,-1.853573,0.085026
21,0.970510,-0.012540,0.000032,-0.000056
22,1.018078,-0.017260,-3.336748,-0.035098
23,0.970041,-0.012886,-0.601654,-0.000030
24,1.019619,-0.015259,-1.494726,0.054824
25,0.970599,-0.012622,0.000115,-0.000005
26,1.020125,-0.014806,-1.078876,0.188117
27,0.970645,-0.013485,-0.601727,-0.000043
28,0.992841,-0.016899,-1.233323,0.006287
29,0.970404,-0.015637,-0.000023,0.000074
30,1.019113,-0.020251,-1.242593,0.075191
31,1.000440,0.001164,10.716082,-0.408687
32,0.965377,-0.001921,0.000101,-0.000120
33,0.963859,-0.016406,0.000023,-0.000084
34,0.966127,-0.001760,-1.064366,0.122707
35,0.964030,-0.016658,0.000060,0.000036
36,0.985683,-0.030301,-3.100104,-0.015188
37,0.959652,-0.023669,0.000075,-0.000067
38,1.007182,-0.029998,-5.455441,-0.019112
39,0.958848,-0.025502,-0.601659,0.000055
40,0.983483,-0.024957,-0.444155,0.064816
