bus,vm_pu,va_degree,p_mw,q_mvar
1,0.974424,-0.073440,-9.409319,-3.718814
2,0.999763,-0.000352,21.589909,7.637959
3,0.974487,-0.073909,0.000031,-0.000056
4,0.974578,-0.073565,-0.000002,0.000023
5,0.974349,-0.073426,0.000009,-0.000132
6,0.974318,-0.074403,-0.026390,-0.013521
7,0.973273,-0.075187,-0.047662,-0.024490
8,0.973279,-0.075051,-0.025656,-0.013054
9,0.973530,-0.074414,-0.540832,-0.277127
10,0.973139,-0.074722,-2.582435,-1.323004
11,0.972728,-0.073623,-0.354070,-0.181439
12,0.969932,-0.076167,-0.007833,-0.003993
13,0.972623,-0.073925,-0.035899,-0.014196
14,0.973955,-0.074067,-0.901272,-0.453697
15,0.970559,-0.076598,-0.010348,-0.005275
16,0.973761,-0.074258,-0.005330,-0.002744
17,0.973802,-0.074543,-0.017482,-0.008942
18,0.974007,-0.074220,-0.026976,-0.013858
19,0.970139,-0.076785,-0.067210,-0.034456
20,0.972982,-0.074129,-0.791348,-0.397339
21,0.970513,-0.075830,-0.001325,-0.000551
22,0.973367,-0.073881,-0.002639,-0.001090
23,0.970411,-0.076126,-0.150561,-0.077119
24,0.970160,-0.077444,-0.056469,-0.022387
25,0.971135,-0.075917,-0.005539,-0.002138
26,0.973112,-0.074573,-0.037320,-0.019166
27,0.973310,-0.074662,-0.000077,-0.000064
28,0.969402,-0.076388,-0.076942,-0.039307
29,0.973741,-0.074225,-0.042173,-0.021609
30,0.974252,-0.074744,-0.156433,-0.080127
31,0.974269,-0.073982,-0.032154,-0.016441
32,0.974753,-0.074622,-0.109336,-0.056032
33,0.973613,-0.073370,-0.324826,-0.158376
34,0.969389,-0.076160,-0.020322,-0.010338
35,0.970720,-0.076364,-0.052940,-0.027083
36,0.972768,-0.074145,-0.011647,-0.005969
37,0.974075,-0.073151,-0.004260,-0.001637
38,0.970593,-0.077295,-0.058208,-0.029818
39,0.973113,-0.075286,-0.091294,-0.046773
40,0.970513,-0.077297,-0.004999,-0.001999
41,0.969992,-0.077020,-0.017927,-0.007055
42,0.970816,-0.076047,-0.040287,-0.020616
43,0.971233,-0.075956,-0.065277,-0.033459
44,0.970812,-0.077182,-0.076902,-0.039436
45,0.970081,-0.075661,-0.000943,-0.000366
46,0.974013,-0.073915,-0.081480,-0.041803
47,0.971178,-0.076393,-0.158151,-0.080954
48,0.973660,-0.073901,-0.000362,-0.000127
49,0.972430,-0.074919,-0.018414,-0.009396
50,0.972824,-0.075094,-0.004206,-0.002082
51,0.974885,-0.074314,-0.016251,-0.006413
52,0.973832,-0.073695,-0.031242,-0.016023
53,0.971221,-0.077061,-0.333767,-0.171045
54,0.972769,-0.074420,-0.009629,-0.003727
55,0.974308,-0.073605,-0.047300,-0.024168
56,0.972801,-0.074820,-0.030902,-0.015749
57,0.973002,-0.073949,-0.022648,-0.011622
58,0.970307,-0.076740,-0.005640,-0.002837
59,0.970118,-0.076382,-0.033483,-0.013241
60,0.969713,-0.076425,-0.006037,-0.002286
61,0.972872,-0.073707,-0.632303,-0.315913
62,0.974511,-0.073982,-0.011162,-0.005672
63,0.969869,-0.076561,-0.000567,-0.000260
64,0.974023,-0.074474,-0.273318,-0.140075
65,0.973740,-0.073460,-0.405783,-0.199873
66,0.974508,-0.074424,-0.433369,-0.222017
67,0.974084,-0.074528,-0.049177,-0.025174
68,0.969977,-0.077009,-0.123753,-0.063371
69,0.972084,-0.074450,-0.013583,-0.005380
70,0.973354,-0.075353,-0.012623,-0.006466
71,0.970477,-0.076552,-0.026774,-0.013710
72,0.970024,-0.076860,-0.035349,-0.018173
73,0.970502,-0.076865,-0.007357,-0.002921
74,0.969562,-0.076628,-0.007484,-0.003853
75,0.970792,-0.075921,-0.082435,-0.042206
76,0.972929,-0.073493,-0.045028,-0.023018
77,0.973893,-0.074573,-0.028968,-0.014801
78,0.974157,-0.074097,-0.183664,-0.094118
79,0.974416,-0.074240,-0.112705,-0.057738
80,0.970769,-0.076433,-0.000007,0.000095
81,0.969409,-0.077032,-0.000512,-0.000238
82,0.973104,-0.074529,-0.014181,-0.007326
83,0.972880,-0.074608,-0.039699,-0.020341
84,0.973313,-0.074414,-0.013658,-0.007034
85,0.970145,-0.077450,-0.014988,-0.007646
86,0.975012,-0.074435,-0.021051,-0.008348
87,0.972885,-0.073884,-0.017083,-0.008737
88,0.973793,-0.073706,-0.026602,-0.013671
89,0.974258,-0.074555,-0.242743,-0.124412
90,0.973309,-0.074460,-0.075417,-0.038507
91,0.970187,-0.075903,-0.059260,-0.030278
92,0.969936,-0.077564,-0.028439,-0.014612
93,0.973161,-0.075238,-0.071546,-0.036627
94,0.969917,-0.075940,-0.063907,-0.032746
95,0.973197,-0.074146,-0.185348,-0.094868
96,0.970229,-0.075818,-0.025237,-0.009952
97,0.970573,-0.076121,-0.093908,-0.048071
98,0.969928,-0.075730,-0.047777,-0.018993
99,0.973690,-0.073814,-0.446920,-0.221008
100,0.972338,-0.074883,-0.013022,-0.006740
101,0.973656,-0.074778,-0.070262,-0.027781
102,0.973821,-0.074812,-0.213313,-0.101260
103,0.973233,-0.073915,-0.020306,-0.008034
104,0.970386,-0.076016,-0.119543,-0.047244
105,0.972983,-0.073902,-0.001316,-0.000684
106,0.972862,-0.074758,0.000029,-0.000011
107,0.973301,-0.075075,-0.000037,-0.000015
108,0.973606,-0.075527,-0.000055,0.000019
109,0.972924,-0.073779,0.000021,-0.000029
110,0.969879,-0.076536,-0.000014,0.000023
111,0.969594,-0.077361,0.000008,0.000006
112,0.973089,-0.073793,0.000003,0.000002
113,0.973503,-0.074550,-0.000085,0.000011
114,0.970905,-0.076329,-0.000075,0.000032
115,0.970135,-0.076505,0.000024,0.000023
116,0.973178,-0.074686,0.000080,-0.000082
117,0.970193,-0.076385,-0.000019,0.000009
118,0.972796,-0.073870,0.000022,-0.000010
119,0.973805,-0.073920,-0.000025,-0.000018
120,0.973856,-0.074495,-0.000101,0.000032
121,0.974252,-0.074871,0.000038,-0.000032
122,0.973296,-0.075040,-0.000037,-0.000031
123,0.972803,-0.073618,-0.000013,-0.000079
124,0.973308,-0.073945,-0.000046,-0.000005
125,0.973705,-0.075369,-0.000064,0.000010
126,0.970015,-0.077320,-0.000107,0.000010
127,0.973009,-0.074663,0.000050,0.000055
128,0.970324,-0.076194,0.000014,0.000007
129,0.970747,-0.075944,0.000054,0.000016
130,0.969906,-0.076960,-0.000067,-0.000032
131,0.973908,-0.074444,0.000029,-0.000047
132,0.970438,-0.076028,0.000001,0.000008
133,0.974147,-0.074985,0.000042,0.000050
134,0.973792,-0.074103,-0.000092,-0.000022
135,0.969553,-0.076472,0.000053,-0.000023
136,0.971200,-0.076786,-0.000004,-0.000078
137,0.970339,-0.076688,0.000076,-0.000027
138,0.970547,-0.076528,-0.000052,-0.000005
139,0.970215,-0.075890,0.000047,0.000032
140,0.972729,-0.074671,0.000044,0.000006
141,0.971163,-0.077279,-0.000012,0.000069
142,0.970409,-0.076966,-0.000093,-0.000043
143,0.970891,-0.076665,-0.000067,0.000048
144,0.974796,-0.073905,0.000027,0.000043
145,0.975267,-0.074549,-0.000062,0.000051
146,0.972497,-0.074402,0.000000,-0.000003
147,0.972979,-0.074592,0.000054,0.000000
148,0.972695,-0.075821,-0.000018,-0.000016
149,0.970221,-0.076395,0.000041,0.000026
150,0.970283,-0.076345,0.000015,-0.000010
151,0.973484,-0.074071,-0.000009,0.000047
152,0.973433,-0.074695,0.000070,0.000018
153,0.972325,-0.074098,0.000020,-0.000041
154,0.972868,-0.074564,-0.000013,0.000011
