bus,vm_pu,va_degree,p_mw,q_mvar
1,0.971901,-0.082367,-11.560564,-4.569126
2,0.999940,-0.000112,23.809304,8.682294
3,0.971869,-0.081885,-0.000023,0.000000
4,0.971497,-0.081804,0.000081,0.000053
5,0.970909,-0.081481,0.000082,-0.000012
6,0.971050,-0.081994,-0.005334,-0.002718
7,0.969115,-0.081833,-0.059028,-0.030264
8,0.969464,-0.081436,-0.008344,-0.004224
9,0.969929,-0.082778,-0.531944,-0.272524
10,0.970417,-0.082406,-2.807834,-1.438408
11,0.969771,-0.082592,-0.450618,-0.230882
12,0.967670,-0.083766,-0.002514,-0.001296
13,0.969907,-0.082689,-0.020313,-0.008086
14,0.970896,-0.081536,-1.540754,-0.745757
15,0.967973,-0.084531,-0.013569,-0.006943
16,0.970723,-0.081693,-0.018967,-0.009665
17,0.970734,-0.082110,-0.003385,-0.001751
18,0.970022,-0.082680,-0.012792,-0.006418
19,0.967876,-0.084277,-0.031443,-0.016104
20,0.971303,-0.082594,-1.024627,-0.481418
21,0.967168,-0.084446,-0.000055,-0.000005
22,0.969463,-0.081611,-0.006212,-0.002507
23,0.968677,-0.084227,-0.058029,-0.029859
24,0.968885,-0.084045,-0.070240,-0.027677
25,0.967942,-0.083855,-0.004668,-0.001886
26,0.970939,-0.081782,-0.018215,-0.009305
27,0.970208,-0.082255,-0.004713,-0.002258
28,0.967270,-0.084111,-0.065709,-0.033789
29,0.970919,-0.081650,-0.020219,-0.010393
30,0.969504,-0.082110,-0.129014,-0.066113
31,0.969705,-0.082113,-0.013847,-0.007091
32,0.971341,-0.081396,-0.094302,-0.048341
33,0.969888,-0.082386,-0.501523,-0.213319
34,0.967778,-0.084640,-0.001178,-0.000603
35,0.967814,-0.085023,-0.012079,-0.006152
36,0.969363,-0.083160,-0.008606,-0.004493
37,0.970598,-0.081917,-0.001474,-0.000660
38,0.968445,-0.084216,-0.051572,-0.026478
39,0.969619,-0.082027,-0.108766,-0.055755
40,0.968260,-0.083806,-0.012947,-0.005103
41,0.968205,-0.083855,-0.015104,-0.005865
42,0.967921,-0.083654,-0.005062,-0.002564
43,0.968621,-0.083988,-0.144718,-0.074136
44,0.968046,-0.083999,-0.025539,-0.013051
45,0.967185,-0.083808,-0.001238,-0.000590
46,0.969948,-0.081726,-0.081699,-0.041946
47,0.967755,-0.083587,-0.376191,-0.192789
48,0.970043,-0.081005,-0.000111,0.000036
49,0.968987,-0.083135,-0.039817,-0.020360
50,0.970155,-0.082478,-0.003219,-0.001599
51,0.970909,-0.082191,-0.012586,-0.004952
52,0.969800,-0.081372,-0.008336,-0.004229
53,0.967948,-0.083896,-0.194253,-0.099545
54,0.970067,-0.081644,-0.005864,-0.002370
55,0.970910,-0.081705,-0.028347,-0.014491
56,0.969524,-0.082751,-0.008889,-0.004559
57,0.969632,-0.082415,-0.007376,-0.003763
58,0.968067,-0.084147,-0.009168,-0.004629
59,0.968212,-0.084444,-0.024488,-0.009741
60,0.967652,-0.084149,-0.015322,-0.006102
61,0.971010,-0.082668,-0.795278,-0.363832
62,0.971871,-0.081846,-0.001649,-0.000828
63,0.968460,-0.084702,-0.000425,-0.000297
64,0.971005,-0.082291,-0.195554,-0.100222
65,0.970381,-0.082050,-0.525300,-0.225524
66,0.970979,-0.081083,-0.134809,-0.069088
67,0.970378,-0.082345,-0.027573,-0.014164
68,0.967921,-0.083410,-0.117379,-0.060270
69,0.970318,-0.082177,-0.016080,-0.006339
70,0.970201,-0.082269,-0.049039,-0.025084
71,0.967445,-0.084041,-0.005673,-0.002791
72,0.967384,-0.083633,-0.009469,-0.004867
73,0.967912,-0.083994,-0.010756,-0.004288
74,0.968027,-0.084673,-0.005559,-0.002824
75,0.968447,-0.083456,-0.093358,-0.047788
76,0.970202,-0.082270,-0.007192,-0.003784
77,0.971312,-0.081241,-0.007531,-0.003900
78,0.970111,-0.082067,-0.026736,-0.013666
79,0.971681,-0.081501,-0.129185,-0.066256
80,0.968324,-0.084440,-0.000004,0.000007
81,0.967978,-0.083819,-0.001055,-0.000575
82,0.969690,-0.082476,-0.006368,-0.003252
83,0.970678,-0.082341,-0.041308,-0.021056
84,0.970230,-0.082280,-0.002507,-0.001416
85,0.966721,-0.084018,0.000041,0.000042
86,0.970931,-0.081902,-0.050498,-0.020030
87,0.970717,-0.083050,-0.015424,-0.007876
88,0.970383,-0.081879,-0.017697,-0.009016
89,0.970540,-0.082264,-0.014387,-0.007353
90,0.969653,-0.081849,-0.006474,-0.003246
91,0.967796,-0.083961,-0.028928,-0.014827
92,0.967327,-0.084460,-0.000125,-0.000152
93,0.969877,-0.082620,-0.035368,-0.018151
94,0.968165,-0.084673,-0.022459,-0.011531
95,0.970696,-0.082316,-0.130467,-0.066846
96,0.968283,-0.083153,-0.012678,-0.005020
97,0.967986,-0.084136,-0.000012,-0.000087
98,0.967388,-0.083894,-0.058703,-0.023263
99,0.970891,-0.081674,-0.202483,-0.060225
100,0.969906,-0.081262,-0.024571,-0.012650
101,0.970012,-0.082602,-0.053973,-0.021446
102,0.970435,-0.082715,-0.362761,-0.142229
103,0.969813,-0.081125,-0.032147,-0.012686
104,0.967727,-0.083519,-0.146814,-0.058029
105,0.969263,-0.082978,-0.001736,-0.000904
106,0.970893,-0.082678,0.000122,0.000020
107,0.970529,-0.082355,0.000055,-0.000035
108,0.970050,-0.081203,-0.000039,0.000003
109,0.970525,-0.082147,0.000036,0.000069
110,0.968308,-0.084359,0.000066,0.000013
111,0.967978,-0.084576,0.000015,0.000008
112,0.970086,-0.082187,-0.000006,0.000056
113,0.970257,-0.082255,0.000025,0.000036
114,0.967905,-0.083802,-0.000007,0.000038
115,0.967859,-0.083776,-0.000050,0.000013
116,0.970259,-0.083100,0.000034,-0.000038
117,0.968253,-0.083860,0.000049,0.000051
118,0.970752,-0.081659,0.000090,0.000019
119,0.970191,-0.082240,-0.000004,0.000062
120,0.970001,-0.082996,0.000053,0.000042
121,0.971781,-0.082040,0.000032,0.000035
122,0.969539,-0.082755,-0.000090,0.000028
123,0.969935,-0.082160,0.000009,0.000041
124,0.970776,-0.081946,0.000029,-0.000088
125,0.969279,-0.082279,0.000010,0.000027
126,0.967899,-0.084124,-0.000030,-0.000038
127,0.969631,-0.082030,-0.000044,-0.000066
128,0.968574,-0.084116,-0.000094,0.000028
129,0.968059,-0.083736,0.000013,0.000023
130,0.968441,-0.083044,0.000032,0.000012
131,0.971377,-0.081689,-0.000058,-0.000019
132,0.967381,-0.084083,0.000070,0.000097
133,0.970677,-0.082724,-0.000062,-0.000096
