bus,vm_pu,va_degree,p_mw,q_mvar
1,0.999384,-0.000170,-0.000002,-0.000019
2,1.000621,-0.000701,-0.000019,0.000085
3,0.999328,0.000824,0.000005,-0.000000
4,0.999849,0.000197,0.000031,-0.000033
5,1.000964,-0.000492,-0.000026,-0.000075
6,1.000708,0.000479,0.000096,-0.000013
7,0.999943,0.000463,10.757864,3.548702
8,1.000044,-0.000473,0.000021,-0.000022
9,1.000428,-0.000064,0.000022,-0.000049
10,1.000464,-0.001009,-0.000084,0.000089
11,0.996688,-0.000139,0.000088,-0.000051
12,0.997815,-0.001297,-0.241457,-0.079329
13,0.997956,0.000328,-0.573481,-0.188626
14,0.996829,0.000468,-1.484926,-0.488021
15,0.996511,-0.001202,-0.378214,-0.124345
16,0.995366,-0.001758,-0.000039,0.000073
17,0.994876,-0.001533,-0.724266,-0.238055
18,0.993037,-0.000962,0.000006,-0.000018
19,0.994605,-0.000980,-0.000039,-0.000008
20,0.993326,-0.002560,-0.603629,-0.198474
21,0.995130,-0.001374,-0.000045,0.000028
22,0.994343,-0.001455,-1.311721,-0.431172
23,0.995057,-0.002004,-0.659936,-0.216856
24,0.994921,-0.000503,-0.804914,-0.264477
25,0.992728,-0.000668,-1.710350,-0.562148
26,0.993209,-0.001765,-0.851088,-0.279692
27,0.992348,-0.001092,-0.000011,-0.000012
28,0.991548,-0.001013,-1.056455,-0.347090
29,0.992037,-0.001047,-0.000026,-0.000007
30,0.993027,-0.000932,-0.301795,-0.099105
