bus,vm_pu,va_degree,p_mw,q_mvar
1,0.999709,-0.001070,0.000053,0.000093
2,1.000270,0.000079,0.000027,0.000000
3,0.999733,-0.000172,0.000050,0.000013
4,0.999853,0.000376,-0.000178,0.000087
5,0.999848,0.000041,-0.000035,0.000088
6,0.999227,-0.000162,-0.000051,-0.000112
7,1.000241,0.000277,13.832347,4.566528
8,0.999991,-0.000773,0.000062,0.000038
9,1.000309,0.000060,-0.000017,-0.000016
10,0.999296,-0.001023,0.000044,0.000023
11,0.995599,-0.001886,0.000097,-0.000039
12,0.996830,-0.000270,-0.541888,-0.178116
13,0.996148,-0.001652,-1.081718,-0.355612
14,0.995604,-0.000273,-1.351015,-0.444141
15,0.995705,-0.001077,-0.615109,-0.202280
16,0.993576,-0.001187,-0.000057,0.000024
17,0.992874,-0.002062,-1.177790,-0.387058
18,0.992770,-0.001092,0.000008,0.000034
19,0.993062,-0.000804,-0.000041,0.000056
20,0.991797,-0.000509,-0.981417,-0.322665
21,0.993796,-0.001754,-0.000075,0.000003
22,0.994028,-0.001147,-2.132942,-0.701126
23,0.992627,-0.001519,-1.222378,-0.401858
24,0.992785,-0.001509,-0.245265,-0.080618
25,0.991249,-0.001245,-1.717493,-0.564474
26,0.990983,-0.001656,-1.383715,-0.454764
27,0.991178,-0.001416,-0.000080,0.000014
28,0.990522,-0.000506,-0.654234,-0.215062
29,0.990631,-0.001975,-0.000079,0.000060
30,0.990151,-0.002555,-0.640059,-0.210287
