,Economic Impact,Life Assessment,Maintenance Stratgy,Total_Indicator,lat,long
RPUDB12T//74-22-4,0.449,0.479,0.625,0.518,40.046,-3.491
RPUWQIFO//74-22-5-CT,0.034,0.217,0.0,0.084,40.046,-3.491
RPWULH1G//74-22-3,0.209,0.428,0.708,0.448,40.046,-3.489
RQ0W7MUL//74-22-2,0.269,0.506,0.458,0.411,40.047,-3.488
RQ2HC35J//74-27,0.504,0.613,0.0,0.372,40.042,-3.488
RQ2NBO45//79,0.288,0.669,0.0,0.319,40.069,-3.488
RQ2O32O0//74-26,0.504,0.639,0.0,0.381,40.043,-3.487
RQ2O34P5//74-2-1-CT,0.034,0.191,0.0,0.075,40.064,-3.488
RQ2O35AP//81,0.288,0.669,0.0,0.319,40.07,-3.488
RQ2RSBDX//74-10-1-CT,0.034,0.191,0.0,0.075,40.058,-3.488
RQ2TB80M//74-3,0.204,0.511,0.0,0.238,40.063,-3.488
RQ2U2NH2//78,0.288,0.669,0.0,0.319,40.068,-3.488
RQ2VJJ4Q//74-4,0.354,0.665,0.625,0.548,40.063,-3.487
RQ2WAWCD//74-25,0.504,0.639,0.0,0.381,40.044,-3.487
RQ2WB0PA//79-1-CT,0.148,0.376,0.458,0.327,40.069,-3.488
RQ3227SQ//77,0.288,0.669,0.0,0.319,40.067,-3.487
RQ351XNN//74-3-1-CT,0.034,0.191,0.0,0.075,40.063,-3.487
RQ351XTF//74,0.288,0.67,0.0,0.319,40.065,-3.487
RQ35REIC//74-6,0.354,0.665,0.458,0.492,40.061,-3.487
RQ36IS0S//74-24,0.504,0.639,0.0,0.381,40.045,-3.487
RQ36IS7R//74-22-1,0.269,0.48,0.458,0.402,40.047,-3.487
RQ36ITU7//74-2,0.204,0.511,0.0,0.238,40.064,-3.487
RQ37A8RE//74-28,0.654,0.742,0.625,0.674,40.042,-3.487
RQ38R6MC//74-7,0.204,0.537,0.0,0.247,40.06,-3.487
RQ38R73O//74-1,0.204,0.511,0.0,0.238,40.065,-3.487
RQ38R785//76,0.288,0.67,0.0,0.319,40.066,-3.487
RQ3D9RJP//74-23,0.504,0.639,0.0,0.381,40.046,-3.487
RQ3E19WA//74-8,0.204,0.537,0.0,0.247,40.06,-3.487
RQ3E1AI0//75,0.318,0.696,0.292,0.435,40.066,-3.487
RQ3HQH2A//74-10,0.354,0.64,0.625,0.539,40.058,-3.487
RQ3IHW6E//74-9,0.204,0.537,0.0,0.247,40.059,-3.487
RQ3K0TFG//82,0.588,0.953,0.75,0.764,40.071,-3.487
RQ3M949X//74-22,0.204,0.537,0.0,0.247,40.047,-3.487
RQ3OHGEU//74-11,0.204,0.537,0.0,0.247,40.057,-3.487
RQ3TPIUD//74-21,0.354,0.665,0.292,0.437,40.048,-3.487
RQ3TPJNW//74-12,0.204,0.537,0.0,0.247,40.056,-3.487
RQ4087VA//74-13,0.204,0.537,0.458,0.4,40.055,-3.487
RQ44OTL4//74-20,0.354,0.665,0.0,0.34,40.049,-3.487
RQ44OU50//74-14,0.204,0.537,0.0,0.247,40.054,-3.487
RQ4AOEG4//74-15,0.204,0.537,0.0,0.247,40.053,-3.487
RQ4C7A7X//74-19,0.204,0.511,0.0,0.238,40.05,-3.487
RQ4CWPID//74-16,0.204,0.537,0.0,0.247,40.052,-3.487
RQ4CWRDB//83,0.318,0.695,0.292,0.435,40.072,-3.487
RQ4HFDQA//74-17,0.204,0.537,0.0,0.247,40.052,-3.487
RQ4KF5UF//74-18,0.204,0.537,0.0,0.247,40.051,-3.486
RQ4O6CAL//74-29,0.504,0.613,0.0,0.372,40.042,-3.486
RQ4RVMH0//84,0.287,0.669,0.0,0.319,40.072,-3.487
RQ52UWT5//80-1-CT,0.118,0.35,0.0,0.156,40.07,-3.486
RQ5BU910//73,0.288,0.696,0.0,0.328,40.065,-3.486
RQ5HTS99//85,0.287,0.669,0.0,0.319,40.074,-3.486
RQ61SCFJ//74-30,0.564,0.665,0.75,0.659,40.042,-3.486
RQ6M1DXH//86,0.287,0.669,0.0,0.319,40.074,-3.486
