,SUPPORT_ID,EI,LA,MS,ACTION
0,RPUDB12T//74-22-4,M,L,M,Keep the current maintenance
1,RPUWQIFO//74-22-5-CT,L,L,L,Keep the current maintenance
2,RPWULH1G//74-22-3,L,L,M,Keep the current maintenance
3,RQ0W7MUL//74-22-2,L,L,L,Keep the current maintenance
4,RQ2HC35J//74-27,M,M,L,"Decrease its use rate. (More energy, more operations.)"
5,RQ2NBO45//79,L,M,L,Keep the current maintenance
6,RQ2O32O0//74-26,M,M,L,"Decrease its use rate. (More energy, more operations.)"
7,RQ2O34P5//74-2-1-CT,L,L,L,Keep the current maintenance
8,RQ2O35AP//81,L,M,L,Keep the current maintenance
9,RQ2RSBDX//74-10-1-CT,L,L,L,Keep the current maintenance
10,RQ2TB80M//74-3,L,M,L,Keep the current maintenance
11,RQ2U2NH2//78,L,M,L,Keep the current maintenance
12,RQ2VJJ4Q//74-4,L,M,M,Relocation
13,RQ2WAWCD//74-25,M,M,L,"Decrease its use rate. (More energy, more operations.)"
14,RQ2WB0PA//79-1-CT,L,L,L,Keep the current maintenance
15,RQ3227SQ//77,L,M,L,Keep the current maintenance
16,RQ351XNN//74-3-1-CT,L,L,L,Keep the current maintenance
17,RQ351XTF//74,L,M,L,Keep the current maintenance
18,RQ35REIC//74-6,L,M,L,Keep the current maintenance
19,RQ36IS0S//74-24,M,M,L,"Decrease its use rate. (More energy, more operations.)"
20,RQ36IS7R//74-22-1,L,L,L,Keep the current maintenance
21,RQ36ITU7//74-2,L,M,L,Keep the current maintenance
22,RQ37A8RE//74-28,H,H,M,Replacement
23,RQ38R6MC//74-7,L,M,L,Keep the current maintenance
24,RQ38R73O//74-1,L,M,L,Keep the current maintenance
25,RQ38R785//76,L,M,L,Keep the current maintenance
26,RQ3D9RJP//74-23,M,M,L,"Decrease its use rate. (More energy, more operations.)"
27,RQ3E19WA//74-8,L,M,L,Keep the current maintenance
28,RQ3E1AI0//75,L,M,L,Keep the current maintenance
29,RQ3HQH2A//74-10,L,M,M,Relocation
30,RQ3IHW6E//74-9,L,M,L,Keep the current maintenance
31,RQ3K0TFG//82,M,H,H,Replacement
