Support_ID,H1_KPI_weighted_power,H2_Criticity,H3_Condition,H4_Risk
RPUDB12T//74-22-4,5.484,5.609,3.137,4.41
RPUWQIFO//74-22-5-CT,4.387,3.719,3.106,3.446
RPWULH1G//74-22-3,5.484,4.591,3.84,4.255
RQ0W7MUL//74-22-2,5.473,4.583,4.891,4.779
RQ2HC35J//74-27,6.586,6.482,2.77,4.675
RQ2NBO45//79,7.667,6.34,2.775,4.57
RQ2O32O0//74-26,6.584,6.488,3.133,4.838
RQ2O34P5//74-2-1-CT,4.373,3.721,2.773,3.248
RQ2O35AP//81,7.685,6.339,2.782,4.612
RQ2RSBDX//74-10-1-CT,4.377,3.713,2.787,3.26
RQ2TB80M//74-3,6.571,5.475,2.778,4.169
RQ2U2NH2//78,7.681,6.355,2.761,4.587
RQ2VJJ4Q//74-4,6.573,5.466,4.924,5.254
RQ2WAWCD//74-25,6.573,6.493,3.115,4.832
RQ2WB0PA//79-1-CT,5.47,4.6,3.135,3.884
RQ3227SQ//77,7.693,6.33,2.763,4.606
RQ351XNN//74-3-1-CT,4.381,3.706,2.775,3.26
RQ351XTF//74,7.698,6.338,2.766,4.563
RQ35REIC//74-6,6.583,5.475,4.926,5.223
RQ36IS0S//74-24,6.566,6.488,3.131,4.847
RQ36IS7R//74-22-1,5.486,4.582,4.585,4.614
RQ36ITU7//74-2,6.574,5.47,2.776,4.155
RQ37A8RE//74-28,6.605,6.483,4.568,5.574
RQ38R6MC//74-7,6.574,5.482,3.13,4.331
RQ38R73O//74-1,6.562,5.457,2.771,4.152
RQ38R785//76,7.688,6.364,2.772,4.597
RQ3D9RJP//74-23,6.592,6.484,3.137,4.84
RQ3E19WA//74-8,6.588,5.447,3.141,4.346
RQ3E1AI0//75,7.691,6.34,3.115,4.771
RQ3HQH2A//74-10,6.592,5.472,4.556,5.057
RQ3IHW6E//74-9,6.587,5.466,3.124,4.343
RQ3K0TFG//82,7.665,6.354,6.751,6.555
RQ3M949X//74-22,6.577,5.477,3.12,4.34
RQ3OHGEU//74-11,6.597,5.48,3.12,4.327
RQ3TPIUD//74-21,6.581,5.474,4.918,5.224
RQ3TPJNW//74-12,6.583,5.477,3.126,4.344
RQ4087VA//74-13,6.579,5.469,3.126,4.347
RQ44OTL4//74-20,6.584,5.468,4.925,5.2
RQ44OU50//74-14,6.573,5.463,3.127,4.346
RQ4AOEG4//74-15,6.581,5.477,3.135,4.329
RQ4C7A7X//74-19,6.597,5.47,2.774,4.147
RQ4CWPID//74-16,6.565,5.469,3.132,4.36
RQ4CWRDB//83,7.66,6.33,3.128,4.784
RQ4HFDQA//74-17,6.581,5.47,3.113,4.334
RQ4KF5UF//74-18,6.6,5.478,3.124,4.324
RQ4O6CAL//74-29,6.587,6.486,2.767,4.676
RQ4RVMH0//84,7.653,6.346,2.796,4.585
RQ52UWT5//80-1-CT,5.485,4.593,2.768,3.731
RQ5BU910//73,7.682,6.338,3.121,4.794
RQ5HTS99//85,7.661,6.344,2.758,4.608
RQ61SCFJ//74-30,6.57,6.475,3.489,5.048
RQ6M1DXH//86,7.645,6.345,2.759,4.594
RQ6R9HBI//86-1-CT,5.472,4.587,2.782,3.699
RQ7JG075//87,7.669,6.349,2.762,4.591
RQ7SF9TF//72,7.68,6.342,3.122,4.764
RQ82N36S//74-31,6.579,6.471,3.493,5.021
RQ82N3G8//74-33-5,5.486,5.595,1.694,3.704
RQ8AUX4A//74-33-6-CT,4.386,4.735,1.682,3.236
RQ8EM99R//88,7.649,6.332,3.466,4.948
RQ8UCGAG//74-33-4,5.488,5.586,6.72,6.214
RQ9PISCN//89,7.657,6.337,3.129,4.774
RQ9W9OJR//74-32,6.588,6.482,6.692,6.657
RQA9HCG7//74-33-3,5.504,5.588,6.727,6.213
RQAA8TM4//71,7.688,6.345,3.132,4.774
RQAKP3CS//90,7.652,6.334,2.771,4.566
RQAUFPTH//74-33-2,5.496,5.605,6.688,6.199
RQB7NGUI//91,7.664,6.336,2.772,4.579
RQBDN1ED//92-CT,6.562,5.46,2.771,4.157
RQBMM8KX//74-33-1,5.498,5.604,2.046,3.872
RQBQDFTA//74-33,6.581,6.478,4.933,5.752
RQCQ2FER//70,7.682,6.358,3.469,4.954
RQE5WOGE//74-34,6.575,6.475,3.505,5.026
RQFGTBSJ//69,7.702,6.337,3.137,4.796
RQFQK18D//74-35,6.573,6.488,3.493,5.042
RQHIFFCM//74-36,6.585,6.479,3.49,5.003
RQHUEI6N//74-37-CT,5.487,5.597,2.77,4.227
RQI6UR6H//68,7.678,6.361,2.758,4.61
RQJ7B5LL//68-1,6.591,5.478,3.129,4.333
RQK7030R//68-2,6.593,5.46,3.122,4.309
RQKTFCF1//67,7.706,6.339,3.113,4.79
RQL85UHJ//68-3,6.595,5.481,3.137,4.347
RQMA3527//68-4,6.615,5.479,3.125,4.321
RQMVQX85//66-1-CT,5.497,4.602,1.331,3.019
RQN6Q9V3//66,7.678,6.356,3.125,4.778
RQN6QA89//68-5,6.603,5.456,2.756,4.169
RQQ6IGW0//65,7.685,6.343,3.476,4.946
RQSVBDBP//64,7.678,6.364,3.498,4.953
RQVKLDLX//63,7.69,6.369,3.126,4.781
RQX20JL3//59-19-CT,5.492,4.594,2.781,3.718
RQXM7I3A//59-18,6.589,5.478,3.139,4.351
RR09VDW6//62,7.7,6.362,3.131,4.777
RR0BE8R1//59-17,6.605,5.489,6.719,6.145
RR0XTIF1//59-16,6.594,5.476,3.485,4.51
RR1K2GVE//59-15,6.59,5.499,3.487,4.542
RR24QJAE//59-14,6.582,5.466,6.702,6.121
RR2KGTFU//59-13,6.592,5.478,3.476,4.53
RR30OABW//61,7.709,6.372,3.114,4.774
RR356VST//59-12,6.606,5.483,3.463,4.513
RR3NV07V//59-11,6.599,5.476,3.481,4.51
RR4ATDQC//59-10,6.583,5.498,2.758,4.17
RR4MSGN9//59-9,6.613,5.473,2.769,4.147
RR5H9AOR//59-8,6.607,5.493,3.123,4.353
RR5OPPNV//60,7.691,6.352,2.767,4.596
RR6FFC1D//59-7,6.592,5.471,2.776,4.155
RR6GW843//59-7-1-CT,4.393,3.71,2.782,3.273
RR7L3RTG//59-6,6.59,5.479,3.116,4.335
RR8NQHGC//59-5,6.589,5.479,2.764,4.166
